Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
11,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
12,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone,911.424,4,0.2,68.3568
13,CA-2014-114412,4/15/2014,4/20/2014,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
14,CA-2014-161389,12/5/2014,12/10/2014,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Personal Binding Machine,407.976,3,0.2,132.5922
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,Holmes HEPA Air Purifier,68.81,5,0.8,-123.858
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Binders,2.544,3,0.8,-3.816
17,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,Storex Durable Binder Clips,665.88,6,0.4,-13.3176
18,CA-2014-167164,5/13/2014,5/15/2014,First Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,CA-2014-143567,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000304,Office Supplies,Storage,Advantus Map Pins,8.56,2,0,2.4824
20,CA-2014-143567,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
21,CA-2014-143567,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-AC-10003027,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2379.96,3,0.2,714.132  
22,CA-2016-137330,12/9/2016,12/13/2016,Second Class,KB-16585,Karen Bern,Corporate,United States,Minneapolis,Minnesota,55407,Central,TEC-PH-10004977,Technology,Phones,Apple iPhone,1097.544,7,0.2,164.6316
23,CA-2016-137330,12/9/2016,12/13/2016,Second Class,KB-16585,Karen Bern,Corporate,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10001359,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,77.88,3,0.4,-4.8675
24,CA-2015-103730,10/19/2015,10/23/2015,Second Class,MV-17920,Mick Webber,Consumer,United States,Chicago,Illinois,60610,Central,FUR-CH-10003968,Furniture,Chairs,Global Leather Task Chair Black,731.94,3,0,239.1858
25,CA-2015-103730,10/19/2015,10/23/2015,Second Class,MV-17920,Mick Webber,Consumer,United States,Chicago,Illinois,60610,Central,TEC-PH-10000486,Technology,Phones,Motorola Smartphone,539.98,5,0,188.993
26,CA-2014-118255,3/17/2014,3/21/2014,Second Class,LC-17050,Lena Cacioppo,Consumer,United States,Dallas,Texas,75089,Central,TEC-CO-10004723,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,4499.985,3,0.0,1949.994
27,CA-2014-118255,3/17/2014,3/21/2014,Second Class,LC-17050,Lena Cacioppo,Consumer,United States,Dallas,Texas,75089,Central,OFF-PA-10001970,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium,55.2,8,0.4,8.28
28,CA-2015-169551,9/17/2015,9/21/2015,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AP-10001492,Office Supplies,Appliances,Hoover Replacement Filters for Hoover WindTunnel,68.81,2,0.2,13.762
29,CA-2015-169551,9/17/2015,9/21/2015,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,2499.9,5,0.45,-1249.95
30,CA-2015-169551,9/17/2015,9/21/2015,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,TEC-AC-10000080,Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,279.96,3,0.2,104.985
31,CA-2016-140151,10/27/2016,10/31/2016,Standard Class,BF-10975,Barry Frum,Consumer,United States,New York City,New York,10024,East,OFF-BI-10002215,Office Supplies,Binders,GBC Hanging Swingline Covers,22.72,4,0.2,3.408
32,CA-2016-140151,10/27/2016,10/31/2016,Standard Class,BF-10975,Barry Frum,Consumer,United States,New York City,New York,10024,East,OFF-ST-10003442,Office Supplies,Storage,Advantus Panel Wall File,14.74,3,0,4.4958  
33,CA-2016-140151,10/27/2016,10/31/2016,Standard Class,BF-10975,Barry Frum,Consumer,United States,New York City,New York,10024,East,TEC-AC-10001398,Technology,Accessories,Kensington 7 Outlet Masterpiece Series,46.69,3,0.2,5.6028
34,CA-2014-157730,12/30/2014,1/4/2015,Standard Class,JO-15550,Jim Olivares,Consumer,United States,Seattle,Washington,98105,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,3199.94,4,0.0,1199.975
35,CA-2014-157730,12/30/2014,1/4/2015,Standard Class,JO-15550,Jim Olivares,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10001460,Office Supplies,Binders,Avery 4005 File Folders,47.404,7,0.3,-1.9251
36,CA-2015-145317,1/17/2015,1/21/2015,Standard Class,CS-12460,Carl Suiter,Consumer,United States,Springfield,Virginia,22150,East,OFF-PA-10000249,Office Supplies,Paper,Avery 5,9.792,4,0.2,3.4272
37,CA-2015-145317,1/17/2015,1/21/2015,Standard Class,CS-12460,Carl Suiter,Consumer,United States,Springfield,Virginia,22150,East,OFF-LA-10003467,Office Supplies,Labels,Avery 510,4.704,3,0.2,1.5288  
38,CA-2015-145317,1/17/2015,1/21/2015,Standard Class,CS-12460,Carl Suiter,Consumer,United States,Springfield,Virginia,22150,East,TEC-AC-10002167,Technology,Accessories,Belkin 6 Outlet Metallic Surge Strip,30.96,3,0.2,9.288
39,CA-2016-160753,6/1/2016,6/5/2016,Standard Class,EH-13765,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10000545,Office Supplies,Binders,Cardinal Slant-D Ring Binder with Label Holder,13.9,5,0,6.394
40,CA-2016-160753,6/1/2016,6/5/2016,Standard Class,EH-13765,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,FUR-CH-10001215,Furniture,Chairs,Global Ergonomic Managers Chair,812.94,3,0,268.2702
41,CA-2016-160753,6/1/2016,6/5/2016,Standard Class,EH-13765,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-PH-10003988,Technology,Phones,Konftel 300Wx Expandable Wireless Conference Phone,1097.544,7,0.2,219.5088
42,CA-2015-107727,11/4/2015,11/6/2015,First Class,LP-16840,Lena Pistole,Consumer,United States,San Diego,California,92101,West,OFF-PA-10001970,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium,27.6,2,0,9.108
43,CA-2015-107727,11/4/2015,11/6/2015,First Class,LP-16840,Lena Pistole,Consumer,United States,San Diego,California,92101,West,OFF-ST-10004186,Office Supplies,Storage,Storex Durable Binder Clips,27.744,2,0.4,-0.5549
44,CA-2016-128163,11/14/2016,11/18/2016,Standard Class,TS-21370,Troy Staebel,Consumer,United States,Columbus,Ohio,43207,East,TEC-PH-10004093,Technology,Phones,Cisco TelePresence System 1000,1097.544,3,0.2,219.5088
45,CA-2016-128163,11/14/2016,11/18/2016,Standard Class,TS-21370,Troy Staebel,Consumer,United States,Columbus,Ohio,43207,East,OFF-BI-10001460,Office Supplies,Binders,Avery 4005 File Folders,20.16,7,0.2,-0.819
46,CA-2015-100363,6/24/2015,6/29/2015,Standard Class,SR-20905,Sung Roe,Consumer,United States,Houston,Texas,77070,Central,TEC-CO-10004723,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,5999.98,4,0.0,2599.991
47,CA-2015-100363,6/24/2015,6/29/2015,Standard Class,SR-20905,Sung Roe,Consumer,United States,Houston,Texas,77070,Central,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,130.98,1,0,20.9568
48,CA-2014-131492,6/3/2014,6/7/2014,Standard Class,KL-16645,Ken Lonsdale,Corporate,United States,Philadelphia,Pennsylvania,19143,East,OFF-PA-10000249,Office Supplies,Paper,Avery 5,29.376,12,0.2,10.2816
49,CA-2014-131492,6/3/2014,6/7/2014,Standard Class,KL-16645,Ken Lonsdale,Corporate,United States,Philadelphia,Pennsylvania,19143,East,OFF-LA-10002762,Office Supplies,Labels,Avery 500 Round Labels,8.064,4,0.2,2.6208
50,CA-2014-131492,6/3/2014,6/7/2014,Standard Class,KL-16645,Ken Lonsdale,Corporate,United States,Philadelphia,Pennsylvania,19143,East,TEC-AC-10002167,Technology,Accessories,Belkin 6 Outlet Metallic Surge Strip,51.6,5,0.2,15.48
